Subsystem,Manufacturer,MPN,Status,Package,KiCad Symbol,KiCad Footprint,DigiKey,Mouser
GPIO expander,Microchip,MCP23017-E/SO,FROZEN,SOIC-28W,Interface_Expansion:MCP23017_SO,Package_SO:SOIC-28W_7.5x17.9mm_P1.27mm,https://www.digikey.com/en/products/detail/microchip-technology/MCP23017-E-SO/894271,https://www.mouser.com/c/?q=MCP23017-E%2FSO
Button,E-Switch,TL3301NF160QG,FROZEN candidate,6x6mm SMD,Switch:SW_Push,Button_Switch_SMD:SW_Push_1P1T_NO_E-Switch_TL3301NxxxxxG,https://www.digikey.com/en/products?keywords=TL3301NF160QG,https://www.mouser.com/en/ProductDetail/E-Switch/TL3301NF160QG
ADC,Texas Instruments,ADS7828E/2K5,FROZEN architecture,TSSOP-16,Analog_ADC:ADS7828 or local,Package_SO:TSSOP-16_4.4x5mm_P0.65mm,https://www.digikey.com/en/products/detail/texas-instruments/ADS7828E-2K5/1689481,https://www.mouser.com/c/?q=ADS7828E%2F2K5
Hall/TMR stick,Ginfull / Favor Union,Ginfull PS5 Hall variant OR FJH10K-S2; FJH10K-S3D alternate,FROZEN FAMILY / PROTOTYPE SKU,PS5-style through-hole; S2/S3D mechanically same family but Hall sensor VDD/GND pin order reversed,MicroConsole:FJH10K_S2 / MicroConsole:FJH10K_S3D,MicroConsole:Joystick_PS5_Hall_FJH10K,https://www.digikey.com/en/products/detail/favor-electronics/FJH10K-S2/25879530,https://www.digikey.com/en/products/detail/favor-electronics/FJH10K-S3D/25879529
Volume,Bourns,PTV09A-2015F-B103,FROZEN candidate,THT,Device:R_Potentiometer,Potentiometer_THT:Potentiometer_Bourns_PTV09A-1_Single_Vertical,https://www.digikey.com/en/products/detail/bourns-inc/PTV09A-2015F-B103/3534257,https://www.mouser.com/c/?q=PTV09A-2015F-B103
Stereo DAC,Texas Instruments,PCM5102APWR,FROZEN,TSSOP-20,Audio:PCM5102A or local,Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm,https://www.digikey.com/en/products/detail/texas-instruments/PCM5102APWR/4341334,https://www.mouser.com/en/ProductDetail/Texas-Instruments/PCM5102APWR
Stereo amp,Diodes Inc.,PAM8406DR,FROZEN architecture,SOP-16,Amplifier_Audio:PAM8406D,Package_SO:SOP-16_3.9x9.9mm_P1.27mm,https://www.digikey.com/en/products/detail/diodes-incorporated/PAM8406DR/4033289,https://www.mouser.com/c/?q=PAM8406DR
Center amp,Diodes Inc.,PAM8302AADCR,FROZEN architecture,SOIC-8,Amplifier_Audio:PAM8302AAD,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,https://www.digikey.com/en/products/detail/diodes-incorporated/PAM8302AADCR/4033280,https://www.mouser.com/c/?q=PAM8302AADCR
L/R speaker,PUI Audio,AS02008MR-2-LWC30,PROTOTYPE,20mm wired,Device:Speaker,connector only,https://www.digikey.com/en/products/detail/pui-audio-inc/AS02008MR-2-LWC30/29263745,https://www.mouser.com/c/?q=AS02008MR-2-LWC30
Center speaker,PUI Audio,AS03208AS-HT,PROTOTYPE,31.7mm frame,Device:Speaker,connector only,https://www.digikey.com/en/products?keywords=AS03208AS-HT,https://www.mouser.com/en/ProductDetail/PUI-Audio/AS03208AS-HT
JST PH right-angle,JST,S2B-PH-K-S,FROZEN,THT,Connector_Generic:Conn_01x02,Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,https://www.digikey.com/en/products/detail/jst-sales-america-inc/S2B-PH-K-S/926626,https://www.mouser.com/c/?q=S2B-PH-K-S
10k resistor,Yageo,RC0805FR-0710KL,FROZEN,805,Device:R,Resistor_SMD:R_0805_2012Metric,https://www.digikey.com/en/products/detail/yageo/RC0805FR-0710KL/727535,https://www.mouser.com/c/?q=RC0805FR-0710KL
4.7k resistor,Yageo,RC0805FR-074K7L,FROZEN,805,Device:R,Resistor_SMD:R_0805_2012Metric,https://www.digikey.com/en/products?keywords=RC0805FR-074K7L,https://www.mouser.com/en/ProductDetail/YAGEO/RC0805FR-074K7L
100nF capacitor,KEMET,C0805C104K5RAC7210,FROZEN,805,Device:C,Capacitor_SMD:C_0805_2012Metric,https://www.digikey.com/en/products/detail/kemet/C0805C104K5RAC7210/3317003,https://www.mouser.com/c/?q=C0805C104K5RAC7210
10uF bulk capacitor,KYOCERA AVX,1206ZD106KAT2A,FROZEN,1206,Device:C,Capacitor_SMD:C_1206_3216Metric,https://www.digikey.com/en/products/detail/kyocera-avx/1206ZD106KAT2A/564607,https://www.mouser.com/c/?q=1206ZD106KAT2A
,,,,,,,,
CPU/GPU,Pimoroni/Adafruit,Pimoroni Pico Plus 2 - RP2350 ,FROZEN,PICO,,,,
SCREEN,,4.0inch SPI Module ST7796,FROZEN,THT,,,,
