Design Line,Option,Compatibility Class,Order Status,Required Qty,Order Qty,References,Description,Manufacturer,Manufacturer Part Number,Mouser Part Number,Supply / Stock,PCB Change,Mechanical Change,Engineering Notes,Source URL
0,ALTERNATE,A,APPROVED OPTION,2,0,C18 C19,2.2 nF 50 V 5% C0G/NP0 0805 capacitor,TDK,C2012C0G2A222J085AA,810-C2012C0G2A222J,"7,770 snapshot",NO,NO,Direct electrical/footprint substitute; voltage rating improves from 50 V to 100 V.,https://www.mouser.com/c/?q=C2012C0G2A222J085AA
1,ALTERNATE,A,APPROVED OPTION,2,0,C22 C28,2.2 uF 16 V 10% X7R 0805 capacitor,TDK,C2012X7R1C225K125AB,810-C2012X7R1C225K,"84,088 snapshot",NO,NO,"Same capacitance, voltage, dielectric, tolerance and 0805 case.",https://www.mouser.com/c/?q=C2012X7R1C225K125AB
2,ALTERNATE,A,APPROVED OPTION,1,0,C23,33 nF 50 V 10% X7R 0805 capacitor,YAGEO,CC0805KRX7R9BB333,,Listing verified; recheck before PO,NO,NO,Second-source 0805 X7R part; same key electrical ratings.,https://www.mouser.com/c/?q=CC0805KRX7R9BB333
3,ALTERNATE,A,APPROVED OPTION,2,0,C31 C59,0.22 uF 50 V 10% X7R 0805 capacitor,KEMET,C0805C224K5RACTU,80-C0805C224K5R,In stock snapshot,NO,NO,Direct 0805 X7R substitute.,https://www.mouser.com/c/?q=C0805C224K5RACTU
4,ALTERNATE,A,APPROVED OPTION,2,0,C32 C72,0.47 uF 50 V 10% X7R 0805 capacitor,Murata Electronics,GRM21BR71H474KA88L,,Listing verified; recheck before PO,NO,NO,"Same capacitance, voltage, dielectric, tolerance and package.",https://www.mouser.com/c/?q=GRM21BR71H474KA88L
5,ALTERNATE,A,APPROVED OPTION,5,0,C9 C34 C37 C39 C73,1 uF 16 V 10% X7R 0805 capacitor,KEMET,C0805C105K4RACTU,,Listing verified; recheck before PO,NO,NO,Direct 0805 X7R substitute.,https://www.mouser.com/c/?q=C0805C105K4RACTU
6,ALTERNATE,A,APPROVED OPTION,13,0,C4 C13 C15 C17 C26 C27 C29 C35 C38 C41 C45 C47 C49,10 uF 10 V 10% X5R 1206 capacitor,Murata Electronics,GXT31CR6YA106KE01L,,"2,814 snapshot",NO,NO,Same value/tolerance/X5R/1206; voltage rating improves from 10 V to 35 V.,https://www.mouser.com/c/?q=GXT31CR6YA106KE01L
7,ALTERNATE,A,APPROVED OPTION,16,0,C5 C7 C8 C10 C11 C12 C14 C16 C33 C36 C40 C44 C46 C48 C50 C51,100 nF 50 V 10% X7R 0805 capacitor,YAGEO,CC0805KRX7R9BB104,,Listing verified; recheck before PO,NO,NO,Second-source 0805 X7R decoupling capacitor.,https://www.mouser.com/c/?q=CC0805KRX7R9BB104
8,ALTERNATE,C,ENGINEERING REVIEW,2,0,LS1 LS3 board headers,PicoBlade 1x02 1.25 mm vertical PCB header,Molex,53398-0271,538-53398-0271,100k+ regional snapshot,YES,VERIFY,"Same PicoBlade mating family, but SMT rather than the primary through-hole 53047 footprint. PCB footprint change required.",https://www.mouser.com/c/?q=53398-0271
9,ALTERNATE,A,APPROVED OPTION,2,0,R18 R19,470 ohm 1% 0.1 W 0603 resistor,Vishay,CRCW0603470RFKEA,71-CRCW0603-470-E3,Listing verified; recheck before PO,NO,NO,Same resistance/tolerance/package; power rating improves from 0.1 W to 0.125 W.,https://www.mouser.com/c/?q=CRCW0603470RFKEA
