Manufacturer Part Number,Quantity,Customer Part Number
C2012C0G2A222J085AA,2,"C18,C19"
GRM21BR71C225KA12L,2,"C22,C28"
C0805C333K5RECAUTO,1,C23
C0805C224K5RACTU,2,"C31,C59"
C2012X7R1H474K125AB,2,"C32,C72"
GRM21BR71C105KA01L,5,"C9,C34,C37,C39,C73"
1206ZD106KAT2A,13,MC06-C4
C0805C104K5RAC7210,16,MC07-C5
53047-0210,2,"LS1,LS3"
RC0603FR-07470RL,2,"R18,R19"
RC0603FR-0733KL,1,R20
RC0603FR-0727KL,2,"R22,R29"
CRCW06032K00FKEA,2,"R23,R28"
RC0603FR-07100KL,3,"R5,R24,R31"
RC0603FR-0710KL,6,MC14-R11
RC0603FR-074K7L,3,"R21,R30,R45"
RC0603FR-075K1L,2,"R3,R4"
CRCW06033K32FKEA,1,R9
RC0603FR-0768KL,1,R32
RC0603FR-0782KL,1,R33
RC0603FR-071KL,7,MC20-R6
PTV09A-2015F-B103,1,RV1
PCM5102APWR,1,U5
PAM8302AADCR,1,U6
PAM8406DR,1,U7
MPZ1608S601ATA00,2,"FB1,FB4"
PMEG40T30ERX,1,D1
LTST-C190KRKT,1,D2
LTST-C190KGKT,1,D3
LTST-C190KFKT,1,D4
BAT54CLT1G,1,D5
DMP2035UQ-7,2,"Q1,Q2"
COM-00102,1,SW19
TSW-102-07-G-S,1,"TH1,board,header"
MCP73833-FCI/UN,1,U1
S2B-PH-K-S(LF)(SN),1,U2
TL3301NF160QG,14,MC36-SW2
FJH10K-S2,2,"SW16,SW17"
MCP23017-E/SO,1,U3
ADS7828E/2K5,1,U4
AS02008MR-2-LWC30,2,"LS1,LS3s"
AS03208AS-HT,1,LS2
NTCLE201E3103SBA,1,"TH1,thermistor"
