Manufacturer Part Number,Quantity,Customer Part Number
C0805C104K5RAC7210,5,"C14,C16,C33,C36,C40"
1206ZD106KAT2A,6,"C15,C17,C29,C35,C38,C41"
C2012C0G2A222J085AA,2,"C18,C19"
GRM21BR71C225KA12L,2,"C22,C28"
C0805C333K5RECAUTO,1,C23
C0805C224K5RACTU,2,"C31,C59"
C2012X7R1H474K125AB,2,"C32,C72"
GRM21BR71C105KA01L,4,"C34,C37,C39,C73"
RC0603FR-0710KL,5,"R16,R17,R25,R26,R27"
RC0603FR-07470RL,2,"R18,R19"
RC0603FR-0733KL,1,R20
RC0603FR-074K7L,1,R21
RC0603FR-0727KL,2,"R22,R29"
CRCW06032K00FKEA,2,"R23,R28"
RC0603FR-07100KL,1,R24
PCM5102APWR,1,U5
PAM8302AADCR,1,U6
PAM8406DR,1,U7
