Designator,Footprint,Quantity,Value,LCSC Part #
"C14, C16, C33, C36, C40",0805,5,100nF 50V X7R,C0805C104K5RAC7210
"C15, C17, C29, C35, C38, C41",C1206,6,1206ZD106KAT2A,C597553
"C18, C19",0805,2,2.2nF,C0805C222J5GECTU
"C22, C28",0805,2,2.2uF,GRM21BR71C225KA12L
C23,0805,1,33nF,C0805C333K5RECAUTO
"C31, C59",0805,2,0.22uF,C2012X7R1H224K125AA
"C32, C72",0805,2,0.47uF,C2012X7R1H474K125AB
"C34, C37, C39, C73",0805,4,1uF,GRM21BR71C105KA01L
"J1, J2",1x10_P2.54mm,2,Conn_01x10,
"R16, R17, R25, R26, R27",0603,5,10k,RC0603FR-0710KL
"R18, R19",0603,2,470,RC0603FR-07470RL
R20,0603,1,33k,RC0603FR-0733KL
R21,0603,1,4.7k,RC0603FR-074K7L
"R22, R29",0603,2,27k,RC0603FR-0727KL
"R23, R28",0603,2,2k,RC0603FR-072KL
R24,0603,1,100k,RC0603FR-07100KL
U5,TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,1,PCM5102APWR,C107671
U6,SOP-8_L4.9-W3.9-P1.27-LS6.0-BL,1,PAM8302AADCR,C112137
U7,SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,1,PAM8406DR,C86270
