Designator,Mid X,Mid Y,Rotation,Layer
C14,212.852,-107.268001,90.0,top
C15,210.566,-106.506001,90.0,top
C16,214.122,-113.502001,90.0,top
C17,211.836,-114.380001,90.0,top
C18,221.996,-116.666001,0.0,top
C19,218.252001,-116.666001,180.0,top
C22,214.376,-110.570001,180.0,top
C23,214.376,-127.894002,0.0,top
C28,215.138,-107.776001,270.0,top
C29,211.582,-135.138002,0.0,top
C31,219.456,-126.304001,270.0,top
C32,214.938,-140.218002,180.0,top
C33,215.138,-119.004002,270.0,top
C34,213.16,-130.820002,270.0,top
C35,211.582,-137.5156,180.0,top
C36,220.218,-104.220001,90.0,top
C37,218.494,-140.218002,0.0,top
C38,226.822,-121.798002,270.0,top
C39,224.79,-121.798002,90.0,top
C40,222.25,-104.220001,90.0,top
C41,224.536,-103.458001,90.0,top
C59,217.424,-126.304001,90.0,top
C72,222.05,-140.218002,0.0,top
C73,223.32,-130.886003,270.0,top
J1,202.692,-125.100002,90.0,top
J2,230.632,-125.100002,90.0,top
R16,214.376,-121.544002,0.0,top
R17,214.375999,-123.068001,180.0,top
R18,223.774,-114.189001,90.0,top
R19,216.408,-114.126001,90.0,top
R20,214.375999,-124.592,180.0,top
R21,214.375998,-126.116002,180.0,top
R22,216.208,-141.930001,180.0,top
R23,213.922,-142.692001,90.0,top
R24,212.535,-120.020002,180.0,top
R25,213.16,-133.360002,0.0,top
R26,225.552,-108.538001,0.0,top
R27,223.891,-133.614002,0.0,top
R28,221.796,-142.692001,90.0,top
R29,219.51,-141.930001,0.0,top
U5,220.142,-109.418002,180.0,top
U6,219.964,-121.798002,180.0,top
U7,218.44,-133.990002,180.0,top
