"Net Name";"Netclass";"Net Length (mm)";"Via Count";"Via Length (mm)";"Track Length (mm)";"Die Length (mm)";"Pad Count";"F.Cu (mm)";"B.Cu (mm)";
"GND";"MAIN_POWER and Default";984.5491;19;30.0200;954.5291;0.0000;114;181.7605;772.7686;
"IO0 / Left Stick X";"Default";1.8059;0;0.0000;1.8059;0.0000;2;0.0000;1.8059;
"GPIO16 / Left Stick";"Default";52.4127;2;3.1600;49.2527;0.0000;3;33.5047;15.7480;
"3v3";"ANALOG_POWER and Default";370.9946;7;11.0600;359.9346;0.0000;21;115.2695;244.6651;
"IO1 / Left Stick Y";"Default";1.6795;0;0.0000;1.6795;0.0000;2;0.0000;1.6795;
"MCP GPB5 / L2";"Default";177.0180;3;4.7400;172.2780;0.0000;2;94.7284;77.5496;
"IO2 / Right Stick X";"Default";1.6396;0;0.0000;1.6396;0.0000;2;0.0000;1.6396;
"GPIO17 / Right Stick";"Default";124.3504;2;3.1600;121.1904;0.0000;3;111.0557;10.1347;
"IO3 / Right Stick Y";"Default";2.0058;0;0.0000;2.0058;0.0000;2;0.0000;2.0058;
"Net-(LS1-+_(red))";"Default";173.8261;7;11.0600;162.7661;0.0000;2;77.3533;85.4127;
"Net-(LS1--_(black))";"Default";171.2062;7;11.0600;160.1462;0.0000;2;88.0472;72.0989;
"MCP GPB6 / R2";"Default";95.6604;1;1.5800;94.0804;0.0000;2;1.6779;92.4025;
"MCP GPA1 / DPAD - DOWN";"Default";101.4419;1;1.5800;99.8619;0.0000;2;97.5261;2.3358;
"MCP GPB4 / R1";"Default";99.5918;1;1.5800;98.0118;0.0000;2;3.2052;94.8066;
"MCP GPA5 / B";"Default";47.6465;1;1.5800;46.0665;0.0000;2;15.3252;30.7413;
"MCP GPA6 / X";"Default";55.7206;1;1.5800;54.1406;0.0000;2;4.2853;49.8554;
"VSYS_BAT";"MAIN_POWER and Default";283.3471;8;12.6400;270.7071;0.0000;23;166.8142;103.8928;
"GPIO5 / LCD CS";"Default";116.0884;3;4.7400;111.3484;0.0000;3;51.2981;60.0503;
"GPIO8 / LCD RESET";"Default";109.2156;3;4.7400;104.4756;0.0000;3;42.5394;61.9361;
"GPIO9 / LCD DC";"Default";105.3461;3;4.7400;100.6061;0.0000;3;44.7025;55.9036;
"GPIO7 / LCD MOSI";"Default";148.6240;8;12.6400;135.9840;0.0000;3;76.0093;59.9747;
"GPIO6 / LCD SCK";"Default";106.2232;3;4.7400;101.4832;0.0000;3;53.4261;48.0571;
"GPIO4 / LCD MISO";"Default";93.4101;3;4.7400;88.6701;0.0000;3;46.6863;41.9838;
"GPIO13 / SD CS";"Default";82.5999;2;3.1600;79.4399;0.0000;3;69.3815;10.0583;
"GPIO15 / SD MOSI";"Default";86.4436;1;1.5800;84.8636;0.0000;3;39.5965;45.2672;
"GPIO12 / SD MISO";"Default";84.8677;2;3.1600;81.7077;0.0000;3;78.9016;2.8061;
"GPIO14 / SD SCK";"Default";86.2804;1;1.5800;84.7004;0.0000;3;44.4197;40.2806;
"MCP GPA2 / DPAD - LEFT";"Default";106.8195;1;1.5800;105.2395;0.0000;2;100.3290;4.9104;
"MCP GPA4 / A";"Default";66.5550;3;4.7400;61.8150;0.0000;2;13.0848;48.7302;
"Net-(U1-THERM)";"Default";14.2739;0;0.0000;14.2739;0.0000;2;0.0000;14.2739;
"MCP GPB0 / Y";"Default";35.7245;1;1.5800;34.1445;0.0000;2;3.2266;30.9180;
"MCP GPB1 / SELECT";"Default";19.9576;1;1.5800;18.3776;0.0000;2;7.3718;11.0058;
"MCP GPA0 / DPAD - UP";"Default";97.3272;1;1.5800;95.7472;0.0000;2;87.0924;8.6549;
"Net-(LS2-+)";"Default";28.4717;0;0.0000;28.4717;0.0000;2;0.0000;28.4717;
"Net-(LS2--)";"Default";16.9222;0;0.0000;16.9222;0.0000;2;0.0000;16.9222;
"PWR_SW_GATE";"Default";16.3569;0;0.0000;16.3569;0.0000;3;0.0000;16.3569;
"MCP GPA3 / DPAD - RIGHT";"Default";89.0831;1;1.5800;87.5031;0.0000;2;85.4631;2.0400;
"MCP GPB3 / L1";"Default";182.7987;3;4.7400;178.0587;0.0000;2;93.3135;84.7453;
"MCP GPB2 / START";"Default";10.5641;1;1.5800;8.9841;0.0000;2;1.6734;7.3107;
"Net-(LS3-+_(red))";"Default";50.1448;1;1.5800;48.5648;0.0000;2;45.8596;2.7053;
"Net-(LS3--_(black))";"Default";58.2070;1;1.5800;56.6270;0.0000;2;45.5033;11.1237;
"FILTERED - IO1 / Left Stick Y";"Default";75.5802;4;6.3200;69.2602;0.0000;3;21.8579;47.4023;
"VOL_ADC";"Default";24.8941;1;1.5800;23.3141;0.0000;3;8.0941;15.2200;
"DAC_L";"Default";45.5068;4;6.3200;39.1868;0.0000;4;17.6824;21.5044;
"Net-(C32-Pad2)";"Default";4.0431;0;0.0000;4.0431;0.0000;3;0.0000;4.0431;
"Net-(C72-Pad2)";"Default";4.0557;0;0.0000;4.0557;0.0000;3;0.0000;4.0557;
"Net-(U7-~{SHDN})";"Default";2.3656;0;0.0000;2.3656;0.0000;2;0.0000;2.3656;
"BAT+";"HIGH_POWER and Default";32.4828;2;3.1600;29.3228;0.0000;5;6.3776;22.9452;
"CENTER_MIX";"Default";4.2775;0;0.0000;4.2775;0.0000;3;0.0000;4.2775;
"CENTER_FEED";"Default";6.2653;0;0.0000;6.2653;0.0000;4;0.0000;6.2653;
"Net-(U1-STAT1)";"Default";1.9288;0;0.0000;1.9288;0.0000;2;0.0000;1.9288;
"Net-(D2-K)";"Default";20.3537;2;3.1600;17.1937;0.0000;2;9.9590;7.2347;
"DAC_R";"Default";45.7081;4;6.3200;39.3881;0.0000;4;12.6334;26.7547;
"3v3_AUDIO";"Default";58.9981;2;3.1600;55.8381;0.0000;11;3.6455;52.1925;
"3v3_ADC";"ANALOG_POWER and Default";9.9968;0;0.0000;9.9968;0.0000;3;0.0000;9.9968;
"FILTERED - IO3 / Right Stick Y";"Default";105.9455;2;3.1600;102.7855;0.0000;3;88.3834;14.4021;
"Net-(U3-~{RESET})";"Default";2.3922;0;0.0000;2.3922;0.0000;2;0.0000;2.3922;
"USB-VBUS";"POWER and Default";93.1358;5;7.9000;85.2358;0.0000;12;57.9285;27.3074;
"PICO_VBUS";"POWER and Default";238.9375;9;14.2200;224.7175;0.0000;3;132.0581;92.6594;
"Net-(Q1-G)";"Default";71.1283;2;3.1600;67.9683;0.0000;3;60.0913;7.8770;
"BAT_SENSE";"Default";14.9131;2;3.1600;11.7531;0.0000;4;4.1405;7.6126;
"GPIO3 / MCP|ADC SCL";"Default";207.4513;5;7.9000;199.5513;0.0000;5;51.2805;148.2708;
"Net-(J2-CC1)";"Default";1.9111;0;0.0000;1.9111;0.0000;2;0.0000;1.9111;
"Net-(J2-CC2)";"Default";1.9876;0;0.0000;1.9876;0.0000;2;0.0000;1.9876;
"Net-(U6-~{SD})";"Default";5.4149;0;0.0000;5.4149;0.0000;3;0.0000;5.4149;
"Net-(U6-IN-)";"Default";2.9208;0;0.0000;2.9208;0.0000;2;0.0000;2.9208;
"Net-(U5-LDOO)";"Default";2.7195;0;0.0000;2.7195;0.0000;2;0.0000;2.7195;
