Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C11, C12, C14, C16, C33, C36, C40, C44, C46, C48, C5, C50, C51, C7, C8",0805,16,100nF 50V X7R,C0805C104K5RAC7210
"C13, C15, C17, C26, C27, C29, C35, C38, C4, C41, C45, C47, C49",C1206,13,1206ZD106KAT2A,C597553
"C18, C19",0805,2,2.2nF,C0805C222J5GECTU
"C22, C28",0805,2,2.2uF,GRM21BR71C225KA12L
C23,0805,1,33nF,C0805C333K5RECAUTO
"C31, C59",0805,2,0.22uF,C2012X7R1H224K125AA
"C32, C72",0805,2,0.47uF,C2012X7R1H474K125AB
"C34, C37, C39, C73, C9",0805,5,1uF,GRM21BR71C105KA01L
D1,Nexperia_CFP3_SOD-123W,1,PMEG40T30ER Schottky,PMEG40T30ERX
D2,0603,1,LED - RED,LTST-C190KRKT
D3,0603,1,LED - GREEN,LTST-C190KGKT
D4,0603,1,LED - ORANGE,LTST-C190KFKT
D5,SOT-23,1,BAT54C,BAT54C-7-F
"FB1, FB4",0603,2,MPZ1608S601ATA00 FerriteBead,MPZ1608S601ATA00
J2,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Receptacle,
Q1,SOT-23,1,DMP2035U-7,
Q2,SOT-23,1,DMP2035U-7,DMP2035U-7
"R11, R16, R17, R25, R26, R27",0603,6,10k,RC0603FR-0710KL
"R12, R13, R14, R15, R6, R7, R8",0603,7,1k,RC0603FR-071KL
"R18, R19",0603,2,470,RC0603FR-07470RL
R20,0603,1,33k,RC0603FR-0733KL
"R21, R30, R45",0603,3,4.7k,RC0603FR-074K7L
"R22, R29",0603,2,27k,RC0603FR-0727KL
"R23, R28",0603,2,2k,RC0603FR-072KL
"R24, R31, R5",0603,3,100k,RC0603FR-07100KL
"R3, R4",0603,2,5.1k,RC0603FR-075K1L
R32,0603,1,68k,RC0603FR-0768KL
R33,0603,1,82k,RC0603FR-0782KL
R9,0603,1,3.32k,RC0603FR-073K32L
U1,MSOP-10_3x3mm_P0.5mm,1,MCP73833-FCI/UN,MCP73833-FCI/UN
U3,SOIC-28_L18.0-W7.5-P1.27-LS10.3-BL,1,MCP23017-E/SO,C47023
U4,TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL,1,ADS7828E/2K5,C701649
U5,TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,1,PCM5102APWR,C107671
U6,SOP-8_L4.9-W3.9-P1.27-LS6.0-BL,1,PAM8302AADCR,C112137
U7,SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,1,PAM8406DR,C86270
