Designator,Mid X,Mid Y,Rotation,Layer
A2,114.11,-95.025,0.0,bottom
C10,121.0,-133.5,180.0,bottom
C11,215.0,-139.0,270.0,bottom
C12,212.5,-136.0,0.0,bottom
C13,121.5,-131.0,0.0,bottom
C14,153.74,-92.35,270.0,bottom
C15,156.24,-89.85,270.0,bottom
C16,154.34,-102.7,0.0,bottom
C17,155.24,-104.85,180.0,bottom
C18,160.74,-96.9,90.0,bottom
C19,160.74,-101.3,270.0,bottom
C22,158.24,-95.85,90.0,bottom
C23,173.92,-119.45,270.0,bottom
C26,158.0,-61.5,270.0,bottom
C27,190.0,-72.2,270.0,bottom
C28,156.24,-95.35,270.0,bottom
C29,181.74,-97.11,90.0,bottom
C31,168.92,-120.95,180.0,bottom
C32,178.24,-103.11,90.0,bottom
C33,162.92,-111.45,180.0,bottom
C34,184.74,-90.61,270.0,bottom
C35,187.2,-97.0,270.0,bottom
C36,145.24,-96.95,90.0,bottom
C37,178.74,-99.61,270.0,bottom
C38,154.92,-118.45,270.0,bottom
C39,157.42,-118.45,90.0,bottom
C4,196.75,-141.59,270.0,bottom
C40,147.74,-92.95,270.0,bottom
C41,145.24,-92.35,270.0,bottom
C44,109.4,-146.8,270.0,bottom
C45,88.0,-83.0,90.0,bottom
C46,90.5,-83.0,270.0,bottom
C47,131.91,-75.0,90.0,bottom
C48,129.5,-74.0,90.0,bottom
C49,134.5,-80.5,90.0,bottom
C5,194.25,-141.59,270.0,bottom
C50,132.0,-79.5,90.0,bottom
C51,113.7,-139.5,180.0,bottom
C59,168.95,-118.5,0.0,bottom
C7,80.0,-102.6,270.0,bottom
C72,170.2,-96.5,90.0,bottom
C73,184.4,-97.1,90.0,bottom
C8,77.0,-100.0,0.0,bottom
C9,113.5,-129.5,0.0,bottom
D1,158.0,-66.9,90.0,bottom
D2,181.0,-60.0,90.0,bottom
D3,186.0,-60.0,90.0,bottom
D4,183.5,-60.0,90.0,bottom
D5,129.755,-66.125,180.0,bottom
FB1,110.6,-132.4,0.0,bottom
FB4,137.7,-93.3,270.0,bottom
J2,148.38,-60.7,180.0,bottom
Q1,193.7,-63.0,0.0,bottom
Q2,141.9,-67.2,180.0,bottom
R11,176.75,-144.09,0.0,bottom
R12,80.0,-106.1,90.0,bottom
R13,73.5,-100.0,180.0,bottom
R14,215.0,-142.5,90.0,bottom
R15,209.0,-136.0,180.0,bottom
R16,180.42,-117.45,0.0,bottom
R17,180.42,-119.95,180.0,bottom
R18,158.24,-98.35,0.0,bottom
R19,158.24,-100.35,0.0,bottom
R20,176.92,-118.45,0.0,bottom
R21,171.92,-119.45,90.0,bottom
R22,173.415,-102.11,180.0,bottom
R23,175.9,-101.4,270.0,bottom
R24,162.92,-113.45,0.0,bottom
R25,181.74,-93.11,0.0,bottom
R26,142.24,-96.85,0.0,bottom
R27,170.74,-93.11,90.0,bottom
R28,168.24,-96.56,90.0,bottom
R29,165.75,-95.61,180.0,bottom
R3,147.2,-67.175,90.0,bottom
R30,100.5,-78.49,180.0,bottom
R31,138.0,-67.0,90.0,bottom
R32,107.4,-135.5,90.0,bottom
R33,107.4,-138.8,90.0,bottom
R4,150.4,-67.175,270.0,bottom
R45,100.5,-82.6,180.0,bottom
R5,189.0,-63.5,90.0,bottom
R6,193.0,-66.5,180.0,bottom
R7,193.0,-68.0,180.0,bottom
R8,183.5,-68.0,0.0,bottom
R9,186.5,-70.0,270.0,bottom
U1,188.5,-66.75,270.0,bottom
U3,185.0,-139.5,180.0,bottom
U4,116.0,-134.5,270.0,bottom
U5,150.74,-98.05,180.0,bottom
U6,162.74,-118.05,180.0,bottom
U7,175.74,-93.05,180.0,bottom
